name*,displayName,description,owner,tags,glossaryTerms,tiers,certification,retentionPeriod,sourceUrl,domains,extension,entityType*,fullyQualifiedName,column.dataTypeDisplay,column.dataType,column.arrayDataType,column.dataLength,storedProcedure.code,storedProcedure.language
Dim_Date,,<p>Static dimension for dates. Provides calendar information for each day.</p>,,,,,,,,,,table,clickhouse_warehouse.default.dataeng.Dim_Date,,,,,,
cloud_coverage,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.stg_weather.cloud_coverage,float32,FLOAT,,1
wind_speed_10m,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.stg_weather.wind_speed_10m,float32,FLOAT,,1
observation_time,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.stg_weather.observation_time,datetime,DATETIME,,1
vw_trip_summary_full,,,,,,,,,,,,table,clickhouse_warehouse.default.dataeng.vw_trip_summary_full,,,,,,
trip_id,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_full.trip_id,uint64,BIGINT,,1
start_date_key,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_full.start_date_key,uint32,INT,,1
end_date_key,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_full.end_date_key,uint32,INT,,1
start_station_name,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_full.start_station_name,string,STRING,,1
end_station_name,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_full.end_station_name,string,STRING,,1
rider_type,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_full.rider_type,string,STRING,,1
bike_type,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_full.bike_type,string,STRING,,1
trip_duration,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_full.trip_duration,float64,DOUBLE,,1
apparent_temp,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_full.apparent_temp,string,STRING,,1
humidity_category,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_full.humidity_category,string,STRING,,1
wind_category,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_full.wind_category,string,STRING,,1
vw_trip_summary_limited,,,,,,,,,,,,table,clickhouse_warehouse.default.dataeng.vw_trip_summary_limited,,,,,,
trip_id,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_limited.trip_id,uint64,BIGINT,,1
start_date_key,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_limited.start_date_key,uint32,INT,,1
end_date_key,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_limited.end_date_key,uint32,INT,,1
start_station_key,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_limited.start_station_key,uint64,BIGINT,,1
start_station_name,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_limited.start_station_name,fixedstring<16>,STRING,,1
end_station_key,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_limited.end_station_key,uint64,BIGINT,,1
end_station_name,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_limited.end_station_name,fixedstring<16>,STRING,,1
rider_type,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_limited.rider_type,fixedstring<32>,STRING,,1
bike_type,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_limited.bike_type,string,STRING,,1
trip_duration,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_limited.trip_duration,float64,DOUBLE,,1
apparent_temp,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_limited.apparent_temp,string,STRING,,1
humidity_category,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_limited.humidity_category,string,STRING,,1
wind_category,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_limited.wind_category,string,STRING,,1
vw_trip_summary_masked,,,,,,,,,,,,table,clickhouse_warehouse.default.dataeng.vw_trip_summary_masked,,,,,,
trip_id,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_masked.trip_id,uint64,BIGINT,,1
start_date_key,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_masked.start_date_key,uint32,INT,,1
end_date_key,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_masked.end_date_key,uint32,INT,,1
start_station_name_masked,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_masked.start_station_name_masked,fixedstring<16>,STRING,,1
end_station_name_masked,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_masked.end_station_name_masked,fixedstring<16>,STRING,,1
rider_type_masked,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_masked.rider_type_masked,string,STRING,,1
bike_type_masked,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_masked.bike_type_masked,string,STRING,,1
trip_duration,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_masked.trip_duration,float64,DOUBLE,,1
apparent_temp,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_masked.apparent_temp,string,STRING,,1
humidity_category,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_masked.humidity_category,string,STRING,,1
wind_category,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.vw_trip_summary_masked.wind_category,string,STRING,,1
